University Name,District,Cutoff,Entrance Percentage,Department,Output
Amity University,Jaipur,154,89,Civil Engineering,Yes
Amity University,Jaipur,174,99,Civil Engineering,Yes
Amity University,Jaipur,36,49,Civil Engineering,No
Amity University,Jaipur,74,79,Civil Engineering,No
Amity University,Jaipur,94,69,Civil Engineering,No
Amity University,Jaipur,120,85,Mechanical Engineering,Yes
Amity University,Jaipur,154,88,Mechanical Engineering,Yes
Amity University,Jaipur,174,93,Mechanical Engineering,Yes
Amity University,Jaipur,34,13,Mechanical Engineering,No
Amity University,Jaipur,14,73,Mechanical Engineering,No
Amity University,Jaipur,74,43,Mechanical Engineering,No
Amity University,Jaipur,120,85,Mechanical Engineering,Yes
Amity University,Jaipur,192,90,Mechanical Engineering,Yes
Amity University,Jaipur,172,95,Mechanical Engineering,Yes
Amity University,Jaipur,32,45,Mechanical Engineering,No
Amity University,Jaipur,72,35,Mechanical Engineering,No
Amity University,Jaipur,52,75,Mechanical Engineering,No
Anna University,Chennai,100,60,Computer Science,Yes
Anna University,Chennai,172,74,Computer Science,Yes
Anna University,Chennai,182,94,Computer Science,Yes
Anna University,Chennai,34,14,Computer Science,No
Anna University,Chennai,42,34,Computer Science,No
Anna University,Chennai,100,60,Information Technology,Yes
Anna University,Chennai,198,92,Information Technology,Yes
Anna University,Chennai,84,12,Information Technology,No
Anna University,Chennai,62,32,Information Technology,No
Anna University,Chennai,32,42,Information Technology,No
Anna University,Chennai,100,60,Electricals and Electronics,Yes
Anna University,Chennai,176,85,Electricals and Electronics,Yes
Anna University,Chennai,96,15,Electricals and Electronics,No
Anna University,Chennai,36,5,Electricals and Electronics,No
Anna University,Chennai,16,35,Electricals and Electronics,No
Anna University,Chennai,100,60,Electronics and Communication,Yes
Anna University,Chennai,134,86,Electronics and Communication,Yes
Anna University,Chennai,14,16,Electronics and Communication,No
Anna University,Chennai,34,36,Electronics and Communication,No
Anna University,Chennai,94,26,Electronics and Communication,No
Anna University,Chennai,74,46,Electronics and Communication,No
Anna University,Chennai,100,60,Civil Engineering,Yes
Anna University,Chennai,144,81,Civil Engineering,Yes
Anna University,Chennai,164,91,Civil Engineering,Yes
Anna University,Chennai,4,21,Civil Engineering,No
Anna University,Chennai,64,41,Civil Engineering,No
Anna University,Chennai,100,60,Mechanical Engineering,Yes
Anna University,Chennai,132,76,Mechanical Engineering,Yes
Anna University,Chennai,192,86,Mechanical Engineering,Yes
Anna University,Chennai,32,16,Mechanical Engineering,No
Anna University,Chennai,112,56,Mechanical Engineering,No
Anna University,Chennai,72,36,Mechanical Engineering,No
Annamalai University,Chidambaram,114,50,Computer Science,Yes
Annamalai University,Chidambaram,124,70,Computer Science,Yes
Annamalai University,Chidambaram,152,80,Computer Science,Yes
Annamalai University,Chidambaram,192,90,Computer Science,Yes
Annamalai University,Chidambaram,24,20,Computer Science,No
Annamalai University,Chidambaram,56,30,Computer Science,No
Annamalai University,Chidambaram,86,10,Computer Science,No
Annamalai University,Chidambaram,114,50,Information Technology,Yes
Annamalai University,Chidambaram,194,94,Information Technology,Yes
Annamalai University,Chidambaram,72,14,Information Technology,No
Annamalai University,Chidambaram,102,24,Information Technology,No
Annamalai University,Chidambaram,84,34,Information Technology,No
Annamalai University,Chidambaram,114,50,Electricals and Electronics,Yes
Annamalai University,Chidambaram,176,65,Electricals and Electronics,Yes
Annamalai University,Chidambaram,136,85,Electricals and Electronics,Yes
Annamalai University,Chidambaram,102,15,Electricals and Electronics,No
Annamalai University,Chidambaram,56,35,Electricals and Electronics,No
Annamalai University,Chidambaram,114,50,Electronics and Communication,Yes
Annamalai University,Chidambaram,124,64,Electronics and Communication,Yes
Annamalai University,Chidambaram,144,84,Electronics and Communication,Yes
Annamalai University,Chidambaram,44,14,Electronics and Communication,No
Annamalai University,Chidambaram,24,44,Electronics and Communication,No
Annamalai University,Chidambaram,114,50,Civil Engineering,Yes
Annamalai University,Chidambaram,130,77,Civil Engineering,Yes
Annamalai University,Chidambaram,190,97,Civil Engineering,Yes
Annamalai University,Chidambaram,50,17,Civil Engineering,No
Annamalai University,Chidambaram,70,47,Civil Engineering,No
Annamalai University,Chidambaram,30,37,Civil Engineering,No
Annamalai University,Chidambaram,114,50,Mechanical Engineering,Yes
Annamalai University,Chidambaram,136,82,Mechanical Engineering,Yes
Annamalai University,Chidambaram,176,72,Mechanical Engineering,Yes
Annamalai University,Chidambaram,36,32,Mechanical Engineering,No
Annamalai University,Chidambaram,76,42,Mechanical Engineering,No
Anurag University,Hyderabad,100,60,Computer Science,Yes
Anurag University,Hyderabad,126,84,Computer Science,Yes
Anurag University,Hyderabad,146,94,Computer Science,Yes
Anurag University,Hyderabad,84,14,Computer Science,No
Anurag University,Hyderabad,78,24,Computer Science,No
Anurag University,Hyderabad,50,34,Computer Science,No
Anurag University,Hyderabad,32,4,Computer Science,No
Anurag University,Hyderabad,100,60,Information Technology,Yes
Anurag University,Hyderabad,164,77,Information Technology,Yes
Anurag University,Hyderabad,142,97,Information Technology,Yes
Anurag University,Hyderabad,84,17,Information Technology,No
Anurag University,Hyderabad,64,37,Information Technology,No
Anurag University,Hyderabad,24,27,Information Technology,No
Anurag University,Hyderabad,100,60,Electricals and Electronics,Yes
Anurag University,Hyderabad,166,71,Electricals and Electronics,Yes
Anurag University,Hyderabad,146,91,Electricals and Electronics,Yes
Anurag University,Hyderabad,86,11,Electricals and Electronics,No
Anurag University,Hyderabad,66,21,Electricals and Electronics,No
Anurag University,Hyderabad,100,60,Electronics and Communication,Yes
Anurag University,Hyderabad,138,77,Electronics and Communication,Yes
Anurag University,Hyderabad,178,87,Electronics and Communication,Yes
Anurag University,Hyderabad,198,97,Electronics and Communication,Yes
Anurag University,Hyderabad,38,17,Electronics and Communication,No
Anurag University,Hyderabad,58,37,Electronics and Communication,No
Anurag University,Hyderabad,100,60,Civil Engineering,Yes
Anurag University,Hyderabad,134,70,Civil Engineering,Yes
Anurag University,Hyderabad,194,90,Civil Engineering,Yes
Anurag University,Hyderabad,34,20,Civil Engineering,No
Anurag University,Hyderabad,54,40,Civil Engineering,No
Anurag University,Hyderabad,100,60,Mechanical Engineering,Yes
Anurag University,Hyderabad,176,88,Mechanical Engineering,Yes
Anurag University,Hyderabad,16,18,Mechanical Engineering,No
Anurag University,Hyderabad,36,48,Mechanical Engineering,No
Anurag University,Hyderabad,76,38,Mechanical Engineering,No
ARKA Jain University,Jamshedpur,100,55,Electricals and Electronics,Yes
ARKA Jain University,Jamshedpur,170,83,Electricals and Electronics,Yes
ARKA Jain University,Jamshedpur,30,3,Electricals and Electronics,No
ARKA Jain University,Jamshedpur,70,13,Electricals and Electronics,No
ARKA Jain University,Jamshedpur,50,43,Electricals and Electronics,No
Avinashilingam Institute for Home Science and Higher Education for Women,Coimbatore,130,50,Computer Science,Yes
Avinashilingam Institute for Home Science and Higher Education for Women,Coimbatore,130,67,Computer Science,Yes
Avinashilingam Institute for Home Science and Higher Education for Women,Coimbatore,130,82,Computer Science,Yes
Avinashilingam Institute for Home Science and Higher Education for Women,Coimbatore,24,18,Computer Science,No
Avinashilingam Institute for Home Science and Higher Education for Women,Coimbatore,56,29,Computer Science,No
Avinashilingam Institute for Home Science and Higher Education for Women,Coimbatore,130,50,Electronics and Communication,Yes
Avinashilingam Institute for Home Science and Higher Education for Women,Coimbatore,154,68,Electronics and Communication,Yes
Avinashilingam Institute for Home Science and Higher Education for Women,Coimbatore,174,78,Electronics and Communication,Yes
Avinashilingam Institute for Home Science and Higher Education for Women,Coimbatore,194,98,Electronics and Communication,Yes
Avinashilingam Institute for Home Science and Higher Education for Women,Coimbatore,94,18,Electronics and Communication,No
Avinashilingam Institute for Home Science and Higher Education for Women,Coimbatore,74,48,Electronics and Communication,No
Avinashilingam Institute for Home Science and Higher Education for Women,Coimbatore,130,50,Civil Engineering,Yes
Avinashilingam Institute for Home Science and Higher Education for Women,Coimbatore,158,90,Civil Engineering,Yes
Avinashilingam Institute for Home Science and Higher Education for Women,Coimbatore,38,40,Civil Engineering,No
Avinashilingam Institute for Home Science and Higher Education for Women,Coimbatore,78,20,Civil Engineering,No
Avinashilingam Institute for Home Science and Higher Education for Women,Coimbatore,98,30,Civil Engineering,No
B.S Abdur Rahman Crescent Institute of Science and Technology,Chennai,100,70,Information Technology,Yes
B.S Abdur Rahman Crescent Institute of Science and Technology,Chennai,164,77,Information Technology,Yes
B.S Abdur Rahman Crescent Institute of Science and Technology,Chennai,188,97,Information Technology,Yes
B.S Abdur Rahman Crescent Institute of Science and Technology,Chennai,82,17,Information Technology,No
B.S Abdur Rahman Crescent Institute of Science and Technology,Chennai,70,37,Information Technology,No
B.S Abdur Rahman Crescent Institute of Science and Technology,Chennai,42,57,Information Technology,No
B.S Abdur Rahman Crescent Institute of Science and Technology,Chennai,100,65,Electricals and Electronics,Yes
B.S Abdur Rahman Crescent Institute of Science and Technology,Chennai,126,71,Electricals and Electronics,Yes
B.S Abdur Rahman Crescent Institute of Science and Technology,Chennai,166,81,Electricals and Electronics,Yes
B.S Abdur Rahman Crescent Institute of Science and Technology,Chennai,46,21,Electricals and Electronics,No
B.S Abdur Rahman Crescent Institute of Science and Technology,Chennai,66,11,Electricals and Electronics,No
Babasaheb Bhimrao Ambedkar University,Lucknow,100,50,Computer Science,Yes
Babasaheb Bhimrao Ambedkar University,Lucknow,136,75,Computer Science,Yes
Babasaheb Bhimrao Ambedkar University,Lucknow,142,94,Computer Science,Yes
Babasaheb Bhimrao Ambedkar University,Lucknow,164,82,Computer Science,Yes
Babasaheb Bhimrao Ambedkar University,Lucknow,64,25,Computer Science,No
Babasaheb Bhimrao Ambedkar University,Lucknow,46,39,Computer Science,No
Babasaheb Bhimrao Ambedkar University,Lucknow,82,16,Computer Science,No
Babasaheb Bhimrao Ambedkar University,Lucknow,100,50,Electronics and Communication,Yes
Babasaheb Bhimrao Ambedkar University,Lucknow,156,89,Electronics and Communication,Yes
Babasaheb Bhimrao Ambedkar University,Lucknow,176,79,Electronics and Communication,Yes
Babasaheb Bhimrao Ambedkar University,Lucknow,56,19,Electronics and Communication,No
Babasaheb Bhimrao Ambedkar University,Lucknow,76,49,Electronics and Communication,No
Babasaheb Bhimrao Ambedkar University,Lucknow,36,9,Electronics and Communication,No
Babasaheb Bhimrao Ambedkar University,Lucknow,100,50,Civil Engineering,Yes
Babasaheb Bhimrao Ambedkar University,Lucknow,126,74,Civil Engineering,Yes
Babasaheb Bhimrao Ambedkar University,Lucknow,166,84,Civil Engineering,Yes
Babasaheb Bhimrao Ambedkar University,Lucknow,26,14,Civil Engineering,No
Babasaheb Bhimrao Ambedkar University,Lucknow,46,34,Civil Engineering,No
Banasthali Vidyapith,Jaipur,100,55,Computer Science,Yes
Banasthali Vidyapith,Jaipur,130,63,Computer Science,Yes
Banasthali Vidyapith,Jaipur,162,94,Computer Science,Yes
Banasthali Vidyapith,Jaipur,46,39,Computer Science,No
Banasthali Vidyapith,Jaipur,70,42,Computer Science,No
Banasthali Vidyapith,Jaipur,82,17,Computer Science,No
Banasthali Vidyapith,Jaipur,100,55,Information Technology,Yes
Banasthali Vidyapith,Jaipur,138,75,Information Technology,Yes
Banasthali Vidyapith,Jaipur,198,85,Information Technology,Yes
Banasthali Vidyapith,Jaipur,36,15,Information Technology,No
Banasthali Vidyapith,Jaipur,48,35,Information Technology,No
Banasthali Vidyapith,Jaipur,100,55,Electricals and Electronics,Yes
Banasthali Vidyapith,Jaipur,126,73,Electricals and Electronics,Yes
Banasthali Vidyapith,Jaipur,186,93,Electricals and Electronics,Yes
Banasthali Vidyapith,Jaipur,86,13,Electricals and Electronics,No
Banasthali Vidyapith,Jaipur,46,53,Electricals and Electronics,No
Banasthali Vidyapith,Jaipur,174,55,Electronics and Communication,Yes
Banasthali Vidyapith,Jaipur,34,77,Electronics and Communication,Yes
Banasthali Vidyapith,Jaipur,94,17,Electronics and Communication,No
Banasthali Vidyapith,Jaipur,54,37,Electronics and Communication,No
Banasthali Vidyapith,Jaipur,74,47,Electronics and Communication,No
Bangalore University,Bangalore,100,60,Computer Science,Yes
Bangalore University,Bangalore,134,75,Computer Science,Yes
Bangalore University,Bangalore,188,94,Computer Science,Yes
Bangalore University,Bangalore,48,24,Computer Science,No
Bangalore University,Bangalore,74,37,Computer Science,No
Bangalore University,Bangalore,38,19,Computer Science,No
Bangalore University,Bangalore,100,60,Information Technology,Yes
Bangalore University,Bangalore,138,74,Information Technology,Yes
Bangalore University,Bangalore,144,84,Information Technology,Yes
Bangalore University,Bangalore,162,94,Information Technology,Yes
Bangalore University,Bangalore,74,14,Information Technology,No
Bangalore University,Bangalore,52,34,Information Technology,No
Bangalore University,Bangalore,20,24,Information Technology,No
Bangalore University,Bangalore,100,60,Electricals and Electronics,Yes
Bangalore University,Bangalore,130,75,Electricals and Electronics,Yes
Bangalore University,Bangalore,170,85,Electricals and Electronics,Yes
Bangalore University,Bangalore,50,55,Electricals and Electronics,No
Bangalore University,Bangalore,70,15,Electricals and Electronics,No
Bangalore University,Bangalore,100,60,Civil Engineering,Yes
Bangalore University,Bangalore,134,77,Civil Engineering,Yes
Bangalore University,Bangalore,194,87,Civil Engineering,Yes
Bangalore University,Bangalore,174,97,Civil Engineering,Yes
Bangalore University,Bangalore,34,17,Civil Engineering,No
Bangalore University,Bangalore,54,37,Civil Engineering,No
Bangalore University,Bangalore,100,60,Mechanical Engineering,Yes
Bangalore University,Bangalore,136,80,Mechanical Engineering,Yes
Bangalore University,Bangalore,196,90,Mechanical Engineering,Yes
Bangalore University,Bangalore,36,10,Mechanical Engineering,No
Bangalore University,Bangalore,76,40,Mechanical Engineering,No
Bangalore University,Bangalore,96,50,Mechanical Engineering,No
Bharath Institute of Higher Education and Research,Chennai,100,50,Computer Science,Yes
Bharath Institute of Higher Education and Research,Chennai,124,62,Computer Science,Yes
Bharath Institute of Higher Education and Research,Chennai,152,76,Computer Science,Yes
Bharath Institute of Higher Education and Research,Chennai,162,81,Computer Science,Yes
Bharath Institute of Higher Education and Research,Chennai,184,92,Computer Science,Yes
Bharath Institute of Higher Education and Research,Chennai,64,42,Computer Science,No
Bharath Institute of Higher Education and Research,Chennai,72,39,Computer Science,No
Bharath Institute of Higher Education and Research,Chennai,90,15,Computer Science,No
Bharath Institute of Higher Education and Research,Chennai,100,50,Information Technology,Yes
Bharath Institute of Higher Education and Research,Chennai,118,77,Information Technology,Yes
Bharath Institute of Higher Education and Research,Chennai,190,97,Information Technology,Yes
Bharath Institute of Higher Education and Research,Chennai,42,18,Information Technology,No
Bharath Institute of Higher Education and Research,Chennai,72,7,Information Technology,No
Bharath Institute of Higher Education and Research,Chennai,84,2,Information Technology,No
Bharath Institute of Higher Education and Research,Chennai,100,50,Electricals and Electronics,Yes
Bharath Institute of Higher Education and Research,Chennai,188,65,Electricals and Electronics,Yes
Bharath Institute of Higher Education and Research,Chennai,148,85,Electricals and Electronics,Yes
Bharath Institute of Higher Education and Research,Chennai,88,15,Electricals and Electronics,No
Bharath Institute of Higher Education and Research,Chennai,48,23,Electricals and Electronics,No
Bharath Institute of Higher Education and Research,Chennai,28,35,Electricals and Electronics,No
Bharath Institute of Higher Education and Research,Chennai,100,50,Electronics and Communication,Yes
Bharath Institute of Higher Education and Research,Chennai,198,72,Electronics and Communication,Yes
Bharath Institute of Higher Education and Research,Chennai,178,82,Electronics and Communication,Yes
Bharath Institute of Higher Education and Research,Chennai,158,92,Electronics and Communication,Yes
Bharath Institute of Higher Education and Research,Chennai,18,12,Electronics and Communication,No
Bharath Institute of Higher Education and Research,Chennai,98,42,Electronics and Communication,No
Bharath Institute of Higher Education and Research,Chennai,100,50,Civil Engineering,Yes
Bharath Institute of Higher Education and Research,Chennai,154,66,Civil Engineering,Yes
Bharath Institute of Higher Education and Research,Chennai,174,86,Civil Engineering,Yes
Bharath Institute of Higher Education and Research,Chennai,14,16,Civil Engineering,No
Bharath Institute of Higher Education and Research,Chennai,34,36,Civil Engineering,No
Bharath Institute of Higher Education and Research,Chennai,54,46,Civil Engineering,No
Bharath Institute of Higher Education and Research,Chennai,100,50,Mechanical Engineering,Yes
Bharath Institute of Higher Education and Research,Chennai,154,80,Mechanical Engineering,Yes
Bharath Institute of Higher Education and Research,Chennai,134,90,Mechanical Engineering,Yes
Bharath Institute of Higher Education and Research,Chennai,34,10,Mechanical Engineering,No
Bharath Institute of Higher Education and Research,Chennai,54,40,Mechanical Engineering,No
Bharath Institute of Higher Education and Research,Chennai,74,30,Mechanical Engineering,No
Bharatiya Engineering Science and Technology Innovation University,Anantapur,110,65,Electricals and Electronics,Yes
Bharatiya Engineering Science and Technology Innovation University,Anantapur,148,72,Electricals and Electronics,Yes
Bharatiya Engineering Science and Technology Innovation University,Anantapur,88,8,Electricals and Electronics,No
Bharatiya Engineering Science and Technology Innovation University,Anantapur,80,22,Electricals and Electronics,No
Bharatiya Engineering Science and Technology Innovation University,Anantapur,68,32,Electricals and Electronics,No
Bharatiya Engineering Science and Technology Innovation University,Anantapur,28,12,Electricals and Electronics,No
Birla Institute of Technology,Ranchi,150,55,Computer Science,Yes
Birla Institute of Technology,Ranchi,158,64,Computer Science,Yes
Birla Institute of Technology,Ranchi,172,84,Computer Science,Yes
Birla Institute of Technology,Ranchi,188,94,Computer Science,Yes
Birla Institute of Technology,Ranchi,130,14,Computer Science,No
Birla Institute of Technology,Ranchi,142,24,Computer Science,No
Birla Institute of Technology,Ranchi,108,34,Computer Science,No
Birla Institute of Technology,Ranchi,58,44,Computer Science,No
Birla Institute of Technology,Ranchi,150,55,Information Technology,Yes
Birla Institute of Technology,Ranchi,178,74,Information Technology,Yes
Birla Institute of Technology,Ranchi,182,94,Information Technology,Yes
Birla Institute of Technology,Ranchi,14,14,Information Technology,No
Birla Institute of Technology,Ranchi,68,34,Information Technology,No
Birla Institute of Technology,Ranchi,52,4,Information Technology,No
Birla Institute of Technology,Ranchi,150,55,Electricals and Electronics,Yes
Birla Institute of Technology,Ranchi,162,69,Electricals and Electronics,Yes
Birla Institute of Technology,Ranchi,182,89,Electricals and Electronics,Yes
Birla Institute of Technology,Ranchi,22,19,Electricals and Electronics,No
Birla Institute of Technology,Ranchi,142,9,Electricals and Electronics,No
Birla Institute of Technology,Ranchi,150,55,Electronics and Communication,Yes
Birla Institute of Technology,Ranchi,172,60,Electronics and Communication,Yes
Birla Institute of Technology,Ranchi,192,80,Electronics and Communication,Yes
Birla Institute of Technology,Ranchi,32,10,Electronics and Communication,No
Birla Institute of Technology,Ranchi,72,30,Electronics and Communication,No
Birla Institute of Technology,Ranchi,92,40,Electronics and Communication,No
Birla Institute of Technology,Ranchi,150,55,Civil Engineering,Yes
Birla Institute of Technology,Ranchi,178,84,Civil Engineering,Yes
Birla Institute of Technology,Ranchi,38,14,Civil Engineering,No
Birla Institute of Technology,Ranchi,78,34,Civil Engineering,No
Birla Institute of Technology,Ranchi,58,44,Civil Engineering,No
Birla Institute of Technology,Ranchi,98,4,Civil Engineering,No
Birla Institute of Technology,Ranchi,150,55,Mechanical Engineering,Yes
Birla Institute of Technology,Ranchi,158,74,Mechanical Engineering,Yes
Birla Institute of Technology,Ranchi,178,84,Mechanical Engineering,Yes
Birla Institute of Technology,Ranchi,38,14,Mechanical Engineering,No
Birla Institute of Technology,Ranchi,78,44,Mechanical Engineering,No
Birla Institute of Technology,Ranchi,138,34,Mechanical Engineering,No
Centurion University of Technology and Management,Gajapati,120,60,Electricals and Electronics,Yes
Centurion University of Technology and Management,Gajapati,148,72,Electricals and Electronics,Yes
Centurion University of Technology and Management,Gajapati,188,82,Electricals and Electronics,Yes
Centurion University of Technology and Management,Gajapati,88,12,Electricals and Electronics,No
Centurion University of Technology and Management,Gajapati,28,32,Electricals and Electronics,No
Centurion University of Technology and Management,Gajapati,68,43,Electricals and Electronics,No
Chandigarh University,Chandigarh,100,45,Computer Science,Yes
Chandigarh University,Chandigarh,138,59,Computer Science,Yes
Chandigarh University,Chandigarh,164,81,Computer Science,Yes
Chandigarh University,Chandigarh,40,35,Computer Science,No
Chandigarh University,Chandigarh,90,23,Computer Science,No
Chandigarh University,Chandigarh,100,35,Information Technology,Yes
Chandigarh University,Chandigarh,130,42,Information Technology,Yes
Chandigarh University,Chandigarh,158,92,Information Technology,Yes
Chandigarh University,Chandigarh,40,22,Information Technology,No
Chandigarh University,Chandigarh,76,32,Information Technology,No
Chandigarh University,Chandigarh,98,12,Information Technology,No
Chandigarh University,Chandigarh,100,35,Electronics and Communication,Yes
Chandigarh University,Chandigarh,166,80,Electronics and Communication,Yes
Chandigarh University,Chandigarh,66,30,Electronics and Communication,No
Chandigarh University,Chandigarh,26,20,Electronics and Communication,No
Chandigarh University,Chandigarh,6,10,Electronics and Communication,No
Chandigarh University,Chandigarh,100,35,Civil Engineering,Yes
Chandigarh University,Chandigarh,136,51,Civil Engineering,Yes
Chandigarh University,Chandigarh,176,81,Civil Engineering,Yes
Chandigarh University,Chandigarh,36,11,Civil Engineering,No
Chandigarh University,Chandigarh,76,21,Civil Engineering,No
Chandigarh University,Chandigarh,100,35,Mechanical Engineering,Yes
Chandigarh University,Chandigarh,122,49,Mechanical Engineering,Yes
Chandigarh University,Chandigarh,162,89,Mechanical Engineering,Yes
Chandigarh University,Chandigarh,82,29,Mechanical Engineering,No
Chandigarh University,Chandigarh,42,39,Mechanical Engineering,No
Chitkara University Chandigarh ,Patiala,130,80,Civil Engineering,Yes
Chitkara University Chandigarh ,Patiala,154,90,Civil Engineering,Yes
Chitkara University Chandigarh ,Patiala,14,20,Civil Engineering,No
Chitkara University Chandigarh ,Patiala,34,30,Civil Engineering,No
Chitkara University Chandigarh ,Patiala,74,70,Civil Engineering,No
Chitkara University Chandigarh ,Patiala,130,80,Mechanical Engineering,Yes
Chitkara University Chandigarh ,Patiala,172,87,Mechanical Engineering,Yes
Chitkara University Chandigarh ,Patiala,132,97,Mechanical Engineering,Yes
Chitkara University Chandigarh ,Patiala,32,17,Mechanical Engineering,No
Chitkara University Chandigarh ,Patiala,72,77,Mechanical Engineering,No
Christ University,Bangalore,100,60,Computer Science,Yes
Christ University,Bangalore,122,72,Computer Science,Yes
Christ University,Bangalore,146,84,Computer Science,Yes
Christ University,Bangalore,168,93,Computer Science,Yes
Christ University,Bangalore,186,64,Computer Science,Yes
Christ University,Bangalore,64,12,Computer Science,No
Christ University,Bangalore,92,25,Computer Science,No
Christ University,Bangalore,62,36,Computer Science,No
Christ University,Bangalore,100,60,Information Technology,Yes
Christ University,Bangalore,134,75,Information Technology,Yes
Christ University,Bangalore,164,85,Information Technology,Yes
Christ University,Bangalore,28,15,Information Technology,No
Christ University,Bangalore,56,25,Information Technology,No
Christ University,Bangalore,72,45,Information Technology,No
Christ University,Bangalore,100,60,Electricals and Electronics,Yes
Christ University,Bangalore,172,85,Electricals and Electronics,Yes
Christ University,Bangalore,52,15,Electricals and Electronics,No
Christ University,Bangalore,32,45,Electricals and Electronics,No
